CODE,PARENTCODE,LEAF,LEVELCODE,TYPE,ISOCODE,NAME
A,,0,1,N,it,"AGRICOLTURA, SILVICOLTURA E PESCA"
A 01,A,0,2,N,it,"COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI"
A 01.1,A 01,0,3,N,it,COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI
A 01.11,A 01.1,0,4,N,it,"Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi"
A 01.11.1,A 01.11,0,5,N,it,Coltivazione di cereali (escluso il riso)
A 01.11.10,A 01.11.1,1,6,N,it,Coltivazione di cereali (escluso il riso)
A 01.11.2,A 01.11,0,5,N,it,Coltivazione di semi oleosi
A 01.11.20,A 01.11.2,1,6,N,it,Coltivazione di semi oleosi
A 01.11.3,A 01.11,0,5,N,it,Coltivazione di legumi da granella
A 01.11.30,A 01.11.3,1,6,N,it,Coltivazione di legumi da granella
A 01.11.4,A 01.11,0,5,N,it,"Coltivazioni miste di cereali, legumi da granella e semi oleosi"
A 01.11.40,A 01.11.4,1,6,N,it,"Coltivazioni miste di cereali, legumi da granella e semi oleosi"
A 01.12,A 01.1,0,4,N,it,Coltivazione di riso
A 01.12.0,A 01.12,0,5,N,it,Coltivazione di riso
A 01.12.00,A 01.12.0,1,6,N,it,Coltivazione di riso
A 01.13,A 01.1,0,4,N,it,"Coltivazione di ortaggi e meloni, radici e tuberi"
A 01.13.1,A 01.13,0,5,N,it,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)"
A 01.13.10,A 01.13.1,1,6,N,it,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)"
A 01.13.2,A 01.13,0,5,N,it,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)"
A 01.13.20,A 01.13.2,1,6,N,it,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)"
A 01.13.3,A 01.13,0,5,N,it,Coltivazione di barbabietola da zucchero
A 01.13.30,A 01.13.3,1,6,N,it,Coltivazione di barbabietola da zucchero
A 01.13.4,A 01.13,0,5,N,it,Coltivazione di patate
A 01.13.40,A 01.13.4,1,6,N,it,Coltivazione di patate
A 01.14,A 01.1,0,4,N,it,Coltivazione di canna da zucchero
A 01.14.0,A 01.14,0,5,N,it,Coltivazione di canna da zucchero
A 01.14.00,A 01.14.0,1,6,N,it,Coltivazione di canna da zucchero
A 01.15,A 01.1,0,4,N,it,Coltivazione di tabacco
A 01.15.0,A 01.15,0,5,N,it,Coltivazione di tabacco
A 01.15.00,A 01.15.0,1,6,N,it,Coltivazione di tabacco
A 01.16,A 01.1,0,4,N,it,Coltivazione di piante tessili
A 01.16.0,A 01.16,0,5,N,it,Coltivazione di piante per la preparazione di fibre tessili
A 01.16.00,A 01.16.0,1,6,N,it,Coltivazione di piante per la preparazione di fibre tessili
A 01.19,A 01.1,0,4,N,it,Floricoltura e coltivazione di altre colture non permanenti
A 01.19.1,A 01.19,0,5,N,it,Coltivazione di fiori in piena aria
A 01.19.10,A 01.19.1,1,6,N,it,Coltivazione di fiori in piena aria
A 01.19.2,A 01.19,0,5,N,it,Coltivazione di fiori in colture protette
A 01.19.20,A 01.19.2,1,6,N,it,Coltivazione di fiori in colture protette
A 01.19.9,A 01.19,0,5,N,it,Coltivazione di piante da foraggio e di altre colture non permanenti
